gauge_id,aridity_ERA5_LAND,aridity_FAO_PM,frac_snow,high_prec_dur,high_prec_freq,low_prec_dur,low_prec_freq,moisture_index_ERA5_LAND,moisture_index_FAO_PM,p_mean,pet_mean_ERA5_LAND,pet_mean_FAO_PM,seasonality_ERA5_LAND,seasonality_FAO_PM
camels_03187500,2.9830058,0.49893767,0.23968005,1.1060292,0.036413416,2.5224938,0.4874059,-0.6328414,0.51275694,4.1734695,12.449483,2.0823011,0.38569877,0.79208905
camels_03213700,4.3074784,0.63916796,0.0,1.1227437,0.04257358,2.903261,0.54845995,-0.75450516,0.3722089,3.5901246,15.464384,2.2946928,0.22131966,0.8819634
camels_03237280,5.025642,0.7269108,0.0,1.125,0.052977413,3.2894452,0.6207392,-0.784749,0.29493412,3.2665203,16.41636,2.3744688,0.24040386,1.1385407
camels_03237500,4.0373526,0.7312217,0.07068697,1.1380814,0.05359343,3.3022077,0.6245038,-0.724426,0.28743938,3.2070246,12.947889,2.3450458,0.3530912,1.1684481
camels_03238500,1.647364,0.7287557,0.07166357,1.1559767,0.054277893,3.3178663,0.6215606,-0.27949205,0.28464,3.2232826,5.30992,2.3489857,1.0219907,1.167634
camels_03241500,1.480723,0.7729445,0.14907695,1.1451613,0.053456537,3.3105814,0.62744695,-0.18880038,0.25688657,3.0451205,4.5089803,2.3537092,1.0644206,1.1302325
camels_03280700,4.2656364,0.6282366,0.0,1.1159664,0.04544832,2.9894888,0.56454486,-0.7531916,0.38074574,3.72372,15.884036,2.3393772,0.21946815,0.88367575
camels_03281100,4.5243473,0.64896715,0.0,1.1328,0.04845996,3.160503,0.5849418,-0.76587135,0.35626677,3.6622424,16.569256,2.376675,0.2219443,0.93657136
camels_03281500,4.776216,0.6757116,0.0,1.1356467,0.049281314,3.156365,0.5872005,-0.77800936,0.33125573,3.5332053,16.87535,2.3874278,0.20940877,0.98386496
camels_03285000,4.822566,0.6497811,0.0,1.1150569,0.05373032,3.352192,0.6123888,-0.775776,0.35458976,3.5994284,17.358482,2.3388405,0.25525013,1.0145323
camels_03291780,3.506623,0.722476,0.069768965,1.1705202,0.05544148,3.4756372,0.63470227,-0.6782281,0.29340145,3.317722,11.634001,2.3969746,0.43761465,1.145859
camels_03300400,4.4811635,0.67028356,0.0,1.1490858,0.0559206,3.3879762,0.621013,-0.75375587,0.3331527,3.502935,15.697225,2.3479595,0.32259998,1.09943
camels_03338780,1.5732486,0.8222837,0.19263585,1.1583892,0.05906913,3.610546,0.65612596,-0.23589234,0.2405216,2.9454381,4.6339064,2.4219856,0.9044632,1.0205493
camels_03340800,1.4631877,0.7668649,0.2101931,1.13947,0.0559206,3.5196702,0.6429843,-0.17325701,0.27331635,3.0827043,4.510575,2.3640177,1.0424242,1.1027989
camels_03346000,1.7188262,0.800681,0.06761727,1.1430482,0.05852156,3.6717558,0.6584531,-0.29858992,0.2445459,3.1435099,5.403147,2.5169487,0.92721194,1.1546714
camels_03357350,1.6055528,0.75066435,0.211907,1.1410614,0.0559206,3.5119226,0.64517456,-0.23640928,0.2856118,3.132991,5.030183,2.3518248,1.0207034,1.120752
camels_03364500,1.7158438,0.7357935,0.070699506,1.161744,0.05653662,3.442635,0.6366872,-0.29581666,0.2879369,3.184577,5.4642367,2.343191,1.0037258,1.1588192
camels_03366500,2.9485,0.7439292,0.07056498,1.1711841,0.056194387,3.5260181,0.64004105,-0.61306447,0.27411473,3.269453,9.639982,2.4322417,0.54731154,1.1719966
camels_03368000,2.5185783,0.7324092,0.07095362,1.1690141,0.056810405,3.45793,0.63572896,-0.5378286,0.28459165,3.2913504,8.289524,2.4106154,0.6686238,1.1529926
camels_03384450,5.3706126,0.7763696,0.0,1.1825613,0.05941136,3.8203807,0.6594798,-0.7937203,0.2515098,3.3700364,18.09916,2.6163936,0.2549304,1.1775762
