gauge_id,gauge_name,country,gauge_lat,gauge_lon,area
camels_06406000,BATTLE CR AT HERMOSA SD,United States of America,43.82805,-103.19602,436.5894959739151
camels_06408700,RHOADS FORK NEAR ROCHFORD SD,United States of America,44.13665,-103.85854,27.400016972472564
camels_06409000,CASTLE CR ABOVE DEERFIELD RES NEAR HILL CITY SD,United States of America,44.01359,-103.83048,208.99203752515427
camels_06431500,SPEARFISH CR AT SPEARFISH SD,United States of America,44.48248,-103.86159,427.1325192337945
camels_06440200,"SOUTH FORK BAD R NEAR COTTONWOOD,SD",United States of America,43.96888,-101.76709,653.8653782095386
camels_06441500,BAD R NEAR FORT PIERRE SD,United States of America,44.32665,-100.3843,8127.440649232418
camels_06447000,WHITE R NEAR KADOKA SD,United States of America,43.7525,-101.52487,12845.193533190592
camels_06447500,LITTLE WHITE R NEAR MARTIN SD,United States of America,43.16667,-101.63015,791.5409648296455
camels_06450500,LITTLE WHITE R BELOW WHITE RIVER SD,United States of America,43.60139,-100.74986,4066.695873419269
camels_06452000,WHITE R NEAR OACOMA SD,United States of America,43.74833,-99.55649,25768.954367292827
camels_06453600,"PONCA CREEK AT VERDEL, NEBR.",United States of America,42.81099,-98.17586,2101.131689061376
camels_06464500,KEYA PAHA R AT WEWELA SD,United States of America,43.02889,-99.78067,2918.7962087458063
camels_06468170,"JAMES RIVER NR GRACE CITY, ND",United States of America,47.55805,-98.86289,2825.504735900212
camels_06468250,"JAMES RIVER ABOVE ARROWWOOD LAKE NR KENSAL, ND",United States of America,47.39972,-98.79761,3238.626663279287
camels_06470800,"BEAR CREEK NR OAKES, ND",United States of America,46.22524,-98.07177,993.2871583802814
camels_06477500,FIRESTEEL CR NEAR MOUNT VERNON SD,United States of America,43.7764,-98.24567,1530.6863708064598
camels_06479215,BIG SIOUX RIVER NR FLORENCE SD,United States of America,45.1808,-97.18619,177.68657105183965
camels_06479438,BIG SIOUX R NEAR WATERTOWN SD,United States of America,45.00608,-97.16508,796.8317683411167
camels_06601000,"OMAHA CR AT HOMER, NEBR",United States of America,42.32158,-96.48768,452.3821281274072
camels_06614800,"MICHIGAN RIVER NEAR CAMERON PASS, CO.",United States of America,40.49609,-105.86501,4.1976216829595
camels_06622700,"NORTH BRUSH CREEK NEAR SARATOGA, WY",United States of America,41.37024,-106.52058,101.48723655616548
camels_06623800,"ENCAMPMENT RIVER AB HOG PARK CR, NR ENCAMPMENT, WY",United States of America,41.02358,-106.82477,188.6691930600108
camels_06632400,"ROCK CREEK AB KING CANYON CANAL, NR ARLINGTON, WY",United States of America,41.58525,-106.22279,164.87041067665697
camels_06746095,"JOE WRIGHT CREEK ABOVE JOE WRIGHT RESERVOIR, CO.",United States of America,40.53998,-105.88279,9.264153457459916
camels_06784000,"SOUTH LOUP R AT ST. MICHAEL, NEBR.",United States of America,41.03244,-98.74053,6377.916547052081
camels_06803510,"LITTLE SALT CREEK NEAR LINCOLN, NEBR.",United States of America,40.89311,-96.68155,118.23549278538776
camels_06803530,"ROCK CREEK NEAR CERESCO, NEBR.",United States of America,41.0157,-96.54428,309.21704773944725
camels_06814000,"TURKEY C NR SENECA, KS",United States of America,39.94778,-96.10862,716.8832451245277
camels_06847900,"PRAIRIE DOG C AB KEITH SEBELIUS LAKE, KS",United States of America,39.76985,-100.10078,1537.6970215930153
camels_06853800,"WHITE ROCK C NR BURR OAK, KS",United States of America,39.89925,-98.25043,596.9457386803155
camels_06876700,"SALT C NR ADA, KS",United States of America,39.13907,-97.83696,1053.0480075651135
camels_06878000,"CHAPMAN C NR CHAPMAN, KS",United States of America,39.03111,-97.04029,777.0421584475448
camels_06879650,"KINGS C NR MANHATTAN, KS",United States of America,39.10195,-96.59521,12.42393158981196
camels_06885500,"BLACK VERMILLION R NR FRANKFORT, KS",United States of America,39.68192,-96.44289,1074.1454623222558
camels_06888500,"MILL C NR PAXICO, KS",United States of America,39.06265,-96.15025,841.6203339804705
camels_06889200,"SOLDIER C NR DELIA, KS",United States of America,39.23833,-95.8886,406.2903379867292
camels_06889500,"SOLDIER C NR TOPEKA, KS",United States of America,39.09938,-95.72495,765.4109531425487
camels_06892000,"STRANGER C NR TONGANOXIE, KS",United States of America,39.11633,-95.01088,1089.9689348884708
camels_06903400,"Chariton River near Chariton, IA",United States of America,40.95189,-93.25985,482.5932269313126
camels_06906800,"Lamine River near Otterville, MO",United States of America,38.70225,-92.97883,1410.6822536946124
camels_06910800,"MARAIS DES CYGNES R NR READING, KS",United States of America,38.56701,-95.96163,444.433612913124
camels_06911900,"DRAGOON C NR BURLINGAME, KS",United States of America,38.71069,-95.83603,290.8794107983461
camels_06917000,"L OSAGE R AT FULTON, KS",United States of America,38.01897,-94.71367,766.8367616266628
camels_06918460,"Turnback Creek above Greenfield, MO",United States of America,37.40237,-93.80203,650.8904124534805
camels_06919500,"Cedar Creek near Pleasant View, MO",United States of America,37.8342,-93.87549,1068.6303709608906
camels_06921070,"Pomme de Terre River near Polk, MO",United States of America,37.68265,-93.37033,716.7145614604523
camels_06921200,"Lindley Creek near Polk, MO",United States of America,37.75047,-93.26618,328.44200263559185
camels_06934000,"Gasconade River near Rich Fountain, MO",United States of America,38.38881,-91.81989,8263.539255495745
